,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
2-Feb-13,8:18:17,,,L,,N,,,0,,,,,,,,,,,,M,,S,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:18:32,,,L,,N,,,0,,,,,,,,,,,,M,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,,,,,T,0,,,,,,,
2-Feb-13,8:18:41,,,L,M,N,,,0,,,,,,,,,,,,,,S,,0,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,,,,,T,0,,,,,,,
2-Feb-13,8:18:46,,,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,A,,,,,,,0,,,,,,,,,,C,,,,,T,0,,,,,,,
2-Feb-13,8:18:58,,,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,,,,,T,0,,,,,,,
2-Feb-13,8:19:00,,,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,,,,,T,0,,,,,,,
2-Feb-13,8:19:28,,,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,C,,,,,,0,,,,,,,
2-Feb-13,8:19:32,,,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,C,L,,,,,0,,,,,,,
2-Feb-13,8:19:38,,C,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:19:54,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
2-Feb-13,8:20:00,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
